SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
144,1768267281,294,16,7988,103,81,-22,133.36,0.19,-2.07,1
145,1768267281,266,-34,8024,101,81,-22,133.36,0.12,-2.05,1
146,1768267281,314,-68,8054,96,82,-24,133.36,0.03,-2.11,1
147,1768267281,280,28,7970,96,82,-26,133.36,0.08,-2.11,1
148,1768267281,334,8,7962,104,78,-29,133.36,0.1,-2.18,1
149,1768267281,276,-8,8012,100,79,-26,133.36,0.09,-2.16,1
150,1768267281,270,-2,8020,103,78,-31,133.36,0.1,-2.13,1
151,1768267281,306,38,8008,105,80,-26,133.36,0.16,-2.16,1
152,1768267281,268,-6,7992,99,80,-26,133.36,0.14,-2.13,1
153,1768267281,310,-12,7980,97,79,-29,137.75,0.12,-2.17,1
154,1768267281,286,-4,8002,98,76,-25,137.75,0.11,-2.16,1
155,1768267281,252,48,7994,103,83,-23,137.75,0.18,-2.11,1
156,1768267281,276,40,7976,100,88,-27,137.75,0.23,-2.1,1
157,1768267281,276,-24,7980,103,78,-28,137.75,0.17,-2.1,1
158,1768267281,286,6,8026,102,81,-28,137.75,0.17,-2.11,1
159,1768267281,250,24,8024,103,80,-26,137.75,0.19,-2.06,1
160,1768267281,284,-10,7994,105,80,-26,137.75,0.17,-2.07,1
161,1768267281,268,-4,7960,97,80,-19,137.75,0.15,-2.06,1
162,1768267281,290,-24,8006,102,83,-26,137.75,0.11,-2.08,1
163,1768267281,248,10,8020,101,79,-24,137.75,0.13,-2.04,1
164,1768267281,256,18,7982,105,81,-24,137.75,0.15,-2.02,1
165,1768267281,264,-4,8004,103,80,-26,137.75,0.14,-2.01,1
166,1768267281,300,-40,8036,91,79,-32,137.75,0.08,-2.05,1
167,1768267281,292,12,8062,99,78,-27,137.75,0.1,-2.08,1
168,1768267281,242,20,7982,103,81,-24,137.75,0.13,-2.03,1
169,1768267281,296,0,7956,105,80,-24,137.75,0.13,-2.07,1
170,1768267281,282,-24,8004,100,73,-27,137.75,0.09,-2.07,1
171,1768267282,300,-24,8002,105,89,-30,137.75,0.07,-2.11,1
172,1768267282,224,34,7934,106,88,-23,137.75,0.13,-2.03,1
173,1768267282,268,-4,7976,104,86,-27,137.75,0.12,-2.03,1
174,1768267282,312,-8,7998,96,81,-28,137.75,0.11,-2.09,1
175,1768267282,282,12,7986,101,83,-31,137.75,0.13,-2.1,1
176,1768267282,298,2,7996,97,81,-24,137.75,0.13,-2.12,1
177,1768267282,300,6,7980,96,85,-25,137.75,0.13,-2.15,1
178,1768267282,302,4,8002,102,87,-30,135.86,0.14,-2.17,1
179,1768267282,258,-10,7966,100,83,-25,135.86,0.12,-2.13,1
180,1768267282,266,28,7994,102,83,-21,135.86,0.16,-2.1,1
181,1768267282,238,-16,7954,99,79,-27,135.86,0.13,-2.04,1
182,1768267282,312,-16,8010,92,83,-26,135.86,0.1,-2.1,1
183,1768267282,302,-10,7984,100,80,-29,135.86,0.09,-2.13,1
184,1768267282,240,20,7992,101,85,-28,135.86,0.12,-2.07,1
185,1768267282,288,-14,7992,98,79,-22,135.86,0.1,-2.09,1
186,1768267282,268,-30,7968,97,87,-22,135.86,0.06,-2.07,1
187,1768267282,244,4,8082,97,80,-28,135.86,0.08,-2.02,1
188,1768267282,232,30,8018,101,87,-24,135.86,0.13,-1.97,1
189,1768267282,242,40,7996,103,83,-21,135.86,0.18,-1.94,1
190,1768267282,302,-18,8040,102,75,-20,135.86,0.15,-2.0,1
191,1768267282,284,-16,8024,95,78,-31,135.86,0.12,-2.02,1
192,1768267282,280,18,8014,103,80,-31,135.86,0.14,-2.04,1
193,1768267282,254,36,7988,101,82,-31,135.86,0.19,-2.01,1
194,1768267282,250,-48,8036,92,76,-25,135.86,0.1,-1.99,1
195,1768267282,250,-34,8058,94,73,-25,135.86,0.06,-1.96,1
